Price,Area,Location,bhk,Lift,Parking,price_per_sqft
5500000,425,Bhandup West,1,0,0,12941.176470588236
6800000,543,Bhandup West,1,1,1,12523.020257826887
14000000,800,Bhandup West,2,1,1,17500.0
9000000,550,Bhandup West,2,1,1,16363.636363636364
9200000,556,Bhandup West,1,0,1,16546.762589928057
13000000,775,Bhandup West,1,1,1,16774.1935483871
21500000,1225,Bhandup West,3,1,1,17551.020408163266
26500000,1740,Bhandup West,3,1,0,15229.885057471265
21500000,1264,Bhandup West,3,1,0,17009.493670886077
30900000,2066,Bhandup West,3,1,1,14956.437560503387
36100000,2065,Bhandup West,3,1,1,17481.8401937046
55599999,3181,Bhandup West,4,1,1,17478.77994341402
27900000,1865,Bhandup West,3,0,1,14959.785522788205
15900000,1200,Bhandup West,2,1,0,13250.0
30000000,2000,Bhandup West,3,0,1,15000.0
59600000,3975,Bhandup West,4,0,1,14993.710691823899
45700000,3050,Bhandup West,4,0,1,14983.606557377048
23700000,1585,Bhandup West,2,0,1,14952.681388012617
26200000,1750,Bhandup West,3,0,1,14971.42857142857
22100000,1475,Bhandup West,2,0,1,14983.050847457627
30900000,2065,Bhandup West,3,0,1,14963.6803874092
7800000,575,Bhandup West,1,1,0,13565.217391304348
9000000,650,Bhandup West,1,1,0,13846.153846153846
2600000,360,Bhayandar East,1,0,1,7222.222222222223
4500000,560,Bhayandar East,1,0,0,8035.714285714285
8320000,1040,Bhayandar East,2,1,0,8000.0
5160000,645,Bhayandar East,1,1,0,8000.0
7320000,999,Bhayandar East,2,1,0,7327.327327327327
5577000,715,Bhayandar East,1,0,0,7800.0
4600000,675,Bhayandar East,1,0,0,6814.814814814815
3100000,365,Bhayandar East,1,0,0,8493.150684931506
6300000,730,Bhayandar East,2,1,0,8630.13698630137
3300000,450,Bhayandar East,1,0,0,7333.333333333333
6600000,750,Bhayandar East,2,1,0,8800.0
5150000,645,Bhayandar East,1,0,0,7984.496124031008
4000000,568,Bhiwandi,2,1,1,7042.2535211267605
8600000,1227,Bhiwandi,3,1,1,7008.9649551752245
5600000,802,Bhiwandi,2,1,1,6982.543640897756
9041000,1530,Bhiwandi,3,1,1,5909.150326797386
9167000,1490,Bhiwandi,3,1,1,6152.3489932885905
7881000,1295,Bhiwandi,2,1,1,6085.714285714285
5686000,1017,Bhiwandi,2,1,1,5590.953785644051
4000000,600,Bhiwandi,1,1,1,6666.666666666667
3800000,657,Bhiwandi,1,1,0,5783.866057838661
7900000,1491,Bhiwandi,3,1,1,5298.457411133468
5800000,1021,Bhiwandi,2,0,0,5680.705190989226
5800000,1021,Bhiwandi,2,1,0,5680.705190989226
6000000,1080,Bhiwandi,2,1,1,5555.555555555556
5800000,1080,Bhiwandi,2,1,1,5370.37037037037
5600000,1080,Bhiwandi,2,1,1,5185.185185185185
5500000,1080,Bhiwandi,2,1,1,5092.592592592592
2600000,630,Boisar,2,1,0,4126.984126984127
2400000,570,Boisar,1,0,0,4210.526315789473
4200000,1380,Boisar,3,0,0,3043.478260869565
3350000,1160,Boisar,3,0,0,2887.9310344827586
2500000,930,Boisar,2,0,0,2688.1720430107525
4200000,1120,Boisar,2,0,0,3750.0
2150000,820,Boisar,2,0,0,2621.951219512195
2800000,795,Boisar,2,1,0,3522.012578616352
2331000,740,Boisar,2,1,0,3150.0
4000000,1380,Boisar,3,1,0,2898.550724637681
3500000,1200,Boisar,3,1,0,2916.6666666666665
3317000,990,Boisar,3,1,1,3350.5050505050503
2500000,930,Boisar,2,1,0,2688.1720430107525
2350000,820,Boisar,2,0,0,2865.8536585365855
2350000,820,Boisar,2,1,0,2865.8536585365855
2100000,780,Boisar,2,0,0,2692.3076923076924
2178000,605,Boisar,1,1,1,3600.0
2178000,605,Boisar,1,0,1,3600.0
3877000,1077,Boisar,3,1,1,3599.8142989786443
3536000,1105,Boisar,3,1,0,3200.0
2300000,820,Boisar,2,1,0,2804.878048780488
2300000,820,Boisar,2,1,0,2804.878048780488
3200000,785,Boisar,2,1,0,4076.433121019108
3920000,1120,Boisar,3,1,0,3500.0
3600000,1200,Boisar,3,1,0,3000.0
2300000,740,Boisar,2,1,1,3108.108108108108
2600000,930,Boisar,2,0,0,2795.6989247311826
2600000,840,Boisar,2,1,1,3095.2380952380954
2000000,731,Boisar,2,0,0,2735.9781121751025
3900000,999,Boisar,2,1,0,3903.903903903904
2500000,675,Boisar,2,1,0,3703.703703703704
2139000,620,Boisar,1,1,0,3450.0
2050000,513,Boisar,1,1,0,3996.101364522417
2400000,714,Boisar,2,1,1,3361.344537815126
2600000,935,Boisar,2,1,0,2780.748663101604
3500000,1200,Boisar,3,0,0,2916.6666666666665
3365999,990,Boisar,3,0,1,3399.9989898989897
2057000,605,Boisar,1,0,1,3400.0
3722999,1095,Boisar,3,0,1,3399.999086757991
3988000,1108,Boisar,3,0,1,3599.2779783393503
3308000,973,Boisar,1,0,1,3399.7944501541624
3661000,1077,Boisar,3,0,1,3399.2571959145776
2200000,820,Boisar,2,0,0,2682.9268292682927
4100000,1380,Boisar,3,0,0,2971.014492753623
20500000,1155,Borivali,3,1,1,17748.91774891775
14500000,829,Borivali,2,1,1,17490.952955367913
17000000,1105,Borivali East,2,1,1,15384.615384615385
15300000,950,Borivali East,2,1,1,16105.263157894737
26000000,1840,Borivali East,3,1,1,14130.434782608696
11299999,600,Borivali East,1,1,1,18833.331666666665
15500000,907,Borivali East,2,1,1,17089.30540242558
11000000,600,Borivali East,1,1,1,18333.333333333332
22500000,1189,Borivali East,3,1,1,18923.465096719934
21500000,1080,Borivali East,2,1,1,19907.40740740741
23000000,1500,Borivali East,3,1,1,15333.333333333334
10000000,600,Borivali East,1,1,1,16666.666666666668
11000000,600,Borivali East,1,1,1,18333.333333333332
18500000,1020,Borivali East,2,1,1,18137.254901960783
11000000,585,Borivali East,1,1,1,18803.418803418805
16500000,1050,Borivali East,2,1,1,15714.285714285714
10000000,552,Borivali East,1,1,1,18115.942028985508
15500000,845,Borivali East,2,1,1,18343.19526627219
14000000,900,Borivali East,2,1,1,15555.555555555555
13200000,918,Borivali East,2,1,0,14379.084967320261
21500000,1450,Borivali East,2,1,0,14827.586206896553
14000000,700,Borivali East,2,0,0,20000.0
45199999,2800,Borivali East,4,0,0,16142.856785714286
17000000,950,Borivali East,2,0,0,17894.736842105263
10000000,600,Borivali East,1,1,1,16666.666666666668
13500000,850,Borivali East,2,1,0,15882.35294117647
9000000,560,Borivali East,1,1,1,16071.42857142857
14000000,800,Borivali East,2,1,0,17500.0
8700000,600,Borivali East,1,1,0,14500.0
28500000,1700,Borivali East,3,1,0,16764.70588235294
12200000,880,Borivali East,2,1,0,13863.636363636364
39900000,2500,Borivali East,4,1,0,15960.0
8700000,595,Borivali East,1,1,1,14621.848739495797
33500000,1785,Borivali West,3,1,1,18767.50700280112
38600000,2030,Borivali West,3,1,1,19014.778325123152
22000000,1300,Borivali West,2,1,1,16923.076923076922
16299999,900,Borivali West,2,1,1,18111.11
11000000,670,Borivali West,1,1,1,16417.910447761195
13000000,816,Borivali West,2,1,1,15931.372549019608
7500000,495,Borivali West,1,1,1,15151.515151515152
