Price,Area,Location,bhk,Lift,Parking,price_per_sqft,location_n
7500000,495,Borivali West,1,1,1,15151.515151515152,26
52500000,2700,Borivali West,5,1,1,19444.444444444445,26
15900000,867,Borivali West,2,1,1,18339.10034602076,26
9900000,539,Borivali West,1,1,1,18367.34693877551,26
11000000,600,Borivali West,1,1,0,18333.333333333332,26
10500000,500,Borivali West,1,0,0,21000.0,26
18500000,1050,Borivali West,2,1,0,17619.04761904762,26
8600000,550,Borivali West,1,1,0,15636.363636363636,26
11200000,650,Borivali West,1,0,0,17230.76923076923,26
11500000,600,Borivali West,1,0,0,19166.666666666668,26
10000000,600,Borivali West,1,1,0,16666.666666666668,26
13300000,899,Borivali West,2,0,0,14794.215795328142,26
10500000,650,Borivali West,1,1,0,16153.846153846154,26
20000000,1000,Borivali West,2,0,0,20000.0,26
8900000,600,Borivali West,1,1,0,14833.333333333334,26
28700000,1670,Borivali West,3,1,0,17185.62874251497,26
16000000,750,Borivali West,2,1,0,21333.333333333332,26
